,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemperature,WindSpeed
0,cayenne,75.0,GF,2019-06-30 20:41:21,83.0,4.94,-52.33,26.0,1.5
1,tura,30.0,RU,2019-06-30 20:41:52,59.0,64.27,100.22,21.95,1.32
2,atuona,100.0,PF,2019-06-30 20:40:27,74.0,-9.8,-139.03,26.55,5.55
3,hilo,90.0,US,2019-06-30 20:42:52,69.0,19.71,-155.08,27.22,5.7
4,hobart,40.0,AU,2019-06-30 20:38:54,50.0,-42.88,147.33,14.44,6.7
5,lompoc,75.0,US,2019-06-30 20:38:02,77.0,34.64,-120.46,28.33,5.1
7,albany,75.0,US,2019-06-30 20:44:52,47.0,42.65,-73.75,26.11,3.6
8,ribeira grande,75.0,PT,2019-06-30 20:45:23,83.0,38.52,-28.7,21.0,4.6
9,fairbanks,40.0,US,2019-06-30 20:41:01,50.0,64.84,-147.72,25.0,1.45
10,ponta delgada,20.0,PT,2019-06-30 20:46:23,77.0,37.73,-25.67,20.0,2.1
11,arraial do cabo,0.0,BR,2019-06-30 20:46:53,65.0,-22.97,-42.02,27.0,2.6
12,new norfolk,40.0,AU,2019-06-30 20:47:23,50.0,-42.78,147.06,14.44,6.7
13,coihaique,90.0,CL,2019-06-30 20:47:54,55.0,-45.58,-72.07,4.0,2.1
15,butaritari,100.0,KI,2019-06-30 20:48:54,83.0,3.07,172.79,26.55,6.56
16,punta arenas,0.0,CL,2019-06-30 20:49:24,69.0,-53.16,-70.91,1.0,8.7
17,dikson,8.0,RU,2019-06-30 20:49:54,84.0,73.51,80.55,3.15,3.53
19,altamira,40.0,BR,2019-06-30 20:50:29,52.0,-3.2,-52.21,33.0,2.1
20,thompson,75.0,CA,2019-06-30 20:51:25,68.0,55.74,-97.86,18.0,10.3
21,ankang,0.0,CN,2019-06-30 20:51:55,62.0,32.73,108.99,17.05,0.57
22,cap malheureux,75.0,MU,2019-06-30 20:52:25,73.0,-19.98,57.61,21.0,7.7
23,los llanos de aridane,40.0,ES,2019-06-30 20:52:55,68.0,28.66,-17.92,22.0,7.2
24,ippy,100.0,CF,2019-06-30 20:53:26,95.0,6.26,21.2,22.65,1.44
25,avarua,67.0,CK,2019-06-30 20:53:56,60.0,-21.21,-159.78,23.0,5.7
26,prince rupert,90.0,CA,2019-06-30 20:54:10,87.0,54.32,-130.32,16.0,4.1
27,vaini,100.0,IN,2019-06-30 20:54:56,91.0,15.34,74.49,24.65,1.32
29,kahului,75.0,US,2019-06-30 20:55:56,61.0,20.89,-156.47,28.0,2.1
30,miramar,75.0,CR,2019-06-30 20:56:27,74.0,10.09,-84.73,27.0,8.2
31,nikolskoye,0.0,RU,2019-06-30 20:56:57,72.0,59.7,30.79,16.0,1.0
32,mar del plata,2.0,AR,2019-06-30 20:57:27,62.0,-46.43,-67.52,0.15,5.85
33,krasnoarmeysk,0.0,RU,2019-06-30 20:57:57,87.0,56.12,38.15,15.0,2.0
34,souillac,90.0,FR,2019-06-30 20:58:27,78.0,45.6,-0.6,23.0,1.0
35,jamestown,100.0,AU,2019-06-30 20:58:58,71.0,-33.21,138.6,6.65,3.79
36,thohoyandou,0.0,ZA,2019-06-30 20:59:28,63.0,-22.97,30.46,12.75,0.59
37,wattegama,100.0,LK,2019-06-30 20:59:58,84.0,7.35,80.68,23.85,2.34
38,porbandar,91.0,IN,2019-06-30 21:00:28,84.0,21.64,69.61,28.15,8.37
39,severo-kurilsk,0.0,RU,2019-06-30 21:00:58,88.0,50.68,156.12,6.35,4.42
40,san patricio,100.0,PY,2019-06-30 21:01:29,96.0,-26.98,-56.83,15.55,4.07
41,busselton,100.0,AU,2019-06-30 21:01:59,73.0,-33.64,115.35,12.22,6.76
42,cidreira,100.0,BR,2019-06-30 21:02:29,86.0,-30.17,-50.22,16.25,2.52
43,hermanus,100.0,ZA,2019-06-30 21:02:59,73.0,-34.42,19.24,15.0,2.24
44,thinadhoo,64.0,MV,2019-06-30 21:03:29,78.0,0.53,72.93,28.45,4.76
45,puerto ayora,20.0,EC,2019-06-30 21:04:00,57.0,-0.74,-90.35,27.0,9.3
46,tiksi,100.0,RU,2019-06-30 21:04:30,78.0,71.64,128.87,3.85,4.74
47,cape town,75.0,ZA,2019-06-30 21:04:48,93.0,-33.93,18.42,13.33,7.2
49,provideniya,90.0,RU,2019-06-30 21:06:00,81.0,64.42,-173.23,9.0,7.0
50,kodiak,1.0,US,2019-06-30 21:06:30,21.0,39.95,-94.76,34.44,5.1
51,kaitangata,100.0,NZ,2019-06-30 21:06:31,80.0,-46.28,169.85,3.89,1.79
52,port hardy,40.0,CA,2019-06-30 21:06:31,87.0,50.7,-127.42,15.0,2.1
53,ushuaia,75.0,AR,2019-06-30 21:06:31,74.0,-54.81,-68.31,1.0,10.3
54,isangel,40.0,VU,2019-06-30 21:06:31,93.0,-19.55,169.27,19.0,4.5
55,mataura,99.0,NZ,2019-06-30 21:06:31,75.0,-46.19,168.86,7.22,0.45
56,pevek,100.0,RU,2019-06-30 21:06:32,98.0,69.7,170.27,-0.25,4.35
58,bethel,90.0,US,2019-06-30 21:03:43,87.0,60.79,-161.76,13.0,5.7
59,tecoanapa,75.0,MX,2019-06-30 21:06:32,62.0,16.99,-99.26,31.0,3.1
60,kapaa,40.0,US,2019-06-30 21:06:02,69.0,22.08,-159.32,28.0,6.2
62,san cristobal,75.0,HN,2019-06-30 21:06:32,49.0,14.68,-86.92,28.75,5.47
63,rikitea,6.0,PF,2019-06-30 21:06:33,56.0,-23.12,-134.97,20.85,4.26
64,micheweni,0.0,TZ,2019-06-30 21:06:33,82.0,-4.97,39.83,26.25,6.74
65,lukhovitsy,15.0,RU,2019-06-30 21:06:33,79.0,54.97,39.03,12.22,0.45
66,lagoa,0.0,PT,2019-06-30 21:06:33,44.0,37.14,-8.45,26.0,6.7
67,dukat,0.0,AL,2019-06-30 21:06:33,61.0,40.25,19.57,21.67,0.45
68,inongo,0.0,CD,2019-06-30 21:06:34,60.0,-1.93,18.29,26.05,0.56
69,kavieng,77.0,PG,2019-06-30 21:06:34,72.0,-2.57,150.8,27.95,0.22
70,kormilovka,0.0,RU,2019-06-30 21:06:34,62.0,55.0,74.1,15.0,1.0
71,hithadhoo,93.0,MV,2019-06-30 21:06:34,72.0,-0.6,73.08,28.35,3.56
72,saldanha,0.0,PT,2019-06-30 21:06:34,65.0,41.42,-6.55,22.95,3.98
73,ojinaga,1.0,US,2019-06-30 21:06:35,14.0,29.56,-104.41,37.0,5.1
74,carnarvon,100.0,ZA,2019-06-30 21:06:35,70.0,-30.97,22.13,7.55,8.7
75,georgetown,75.0,GY,2019-06-30 21:06:11,79.0,6.8,-58.16,29.0,6.2
76,ilulissat,75.0,GL,2019-06-30 21:04:28,80.0,69.22,-51.1,4.0,2.1
77,bronnoysund,75.0,NO,2019-06-30 21:06:35,93.0,65.46,12.2,12.0,10.8
78,ridgecrest,1.0,US,2019-06-30 21:06:35,7.0,35.62,-117.67,36.67,4.1
79,batemans bay,0.0,AU,2019-06-30 21:06:35,71.0,-35.71,150.18,5.0,1.79
80,kurchatov,0.0,KZ,2019-06-30 21:06:36,69.0,50.75,78.54,13.75,4.2
81,saskylakh,93.0,RU,2019-06-30 21:06:36,73.0,71.97,114.09,11.55,7.5
82,taoudenni,84.0,ML,2019-06-30 21:06:36,21.0,22.68,-3.98,36.05,5.96
83,bimbo,20.0,CF,2019-06-30 21:06:36,78.0,4.33,18.53,26.0,6.2
84,forbes,100.0,AU,2019-06-30 21:06:36,91.0,-33.38,148.01,2.78,2.7
85,muros,90.0,ES,2019-06-30 21:06:37,100.0,42.77,-9.06,20.56,3.6
86,ordzhonikidze,0.0,UA,2019-06-30 21:06:37,62.0,44.96,35.36,15.05,3.7
87,beruwala,100.0,LK,2019-06-30 21:06:37,80.0,6.48,79.98,28.55,8.25
88,hofn,39.0,IS,2019-06-30 21:06:37,87.0,64.25,-15.21,0.85,6.27
89,kavaratti,100.0,IN,2019-06-30 21:06:37,78.0,10.57,72.64,28.35,6.82
90,yellowknife,75.0,CA,2019-06-30 21:06:38,35.0,62.45,-114.38,13.0,11.3
92,byron bay,90.0,AU,2019-06-30 21:06:38,100.0,-28.65,153.62,16.0,2.34
93,maldonado,27.0,UY,2019-06-30 21:06:38,80.0,-34.91,-54.96,11.25,9.69
94,nouakchott,0.0,MR,2019-06-30 21:06:38,78.0,18.08,-15.98,23.0,6.2
95,leningradskiy,100.0,RU,2019-06-30 21:06:39,80.0,69.38,178.42,6.55,1.44
97,bogande,6.0,BF,2019-06-30 21:06:39,35.0,12.97,-0.14,33.85,3.64
98,mosquera,40.0,CO,2019-06-30 21:06:39,45.0,4.71,-74.23,19.0,4.1
99,bredasdorp,40.0,ZA,2019-06-30 21:06:39,93.0,-34.53,20.04,15.0,2.1
100,oranjestad,40.0,AW,2019-06-30 21:06:39,70.0,12.52,-70.03,30.0,11.3
101,clyde river,1.0,CA,2019-06-30 21:06:40,65.0,70.47,-68.59,8.0,4.6
103,qaanaaq,0.0,GL,2019-06-30 21:06:40,46.0,77.48,-69.36,10.65,0.6
104,cherskiy,100.0,RU,2019-06-30 21:06:40,90.0,68.75,161.3,3.55,2.44
105,buchanan,75.0,LR,2019-06-30 21:06:40,94.0,5.88,-10.05,25.0,2.1
106,east london,78.0,ZA,2019-06-30 21:06:41,18.0,-33.02,27.91,24.35,6.78
107,bambous virieux,75.0,MU,2019-06-30 21:06:41,73.0,-20.34,57.76,21.0,7.7
109,xai-xai,0.0,MZ,2019-06-30 21:06:41,74.0,-25.04,33.64,19.35,3.0
110,port alfred,0.0,ZA,2019-06-30 21:06:41,85.0,-33.59,26.89,16.11,7.66
111,chapais,40.0,CA,2019-06-30 21:06:42,56.0,49.78,-74.86,23.0,3.6
112,hammerfest,0.0,NO,2019-06-30 21:06:42,75.0,70.66,23.68,8.0,3.1
113,gitarama,40.0,RW,2019-06-30 21:06:42,56.0,-2.07,29.76,22.0,1.5
115,biloela,0.0,AU,2019-06-30 21:06:42,82.0,-24.4,150.51,11.35,2.11
116,weinan,0.0,CN,2019-06-30 21:06:42,100.0,34.5,109.46,17.0,0.3
